Date,Day,Week,Month,Quarter,Year,Weekend,Season,Festival,Holiday
2024-09-25,25,39,9,3,2024,False,Monsoon,None,False
2024-09-26,26,39,9,3,2024,False,Monsoon,None,False
2024-09-27,27,39,9,3,2024,False,Monsoon,None,False
2024-09-28,28,39,9,3,2024,True,Monsoon,None,False
2024-09-29,29,39,9,3,2024,True,Monsoon,None,False
2024-09-30,30,40,9,3,2024,False,Monsoon,None,False
2024-10-01,1,40,10,4,2024,False,Post-Monsoon,None,False
2024-10-02,2,40,10,4,2024,False,Post-Monsoon,Gandhi Jayanti,True
2024-10-03,3,40,10,4,2024,False,Post-Monsoon,None,False
2024-10-04,4,40,10,4,2024,False,Post-Monsoon,None,False
2024-10-05,5,40,10,4,2024,True,Post-Monsoon,None,False
2024-10-06,6,40,10,4,2024,True,Post-Monsoon,None,False
2024-10-07,7,41,10,4,2024,False,Post-Monsoon,None,False
2024-10-08,8,41,10,4,2024,False,Post-Monsoon,None,False
2024-10-09,9,41,10,4,2024,False,Post-Monsoon,None,False
2024-10-10,10,41,10,4,2024,False,Post-Monsoon,None,False
2024-10-11,11,41,10,4,2024,False,Post-Monsoon,None,False
2024-10-12,12,41,10,4,2024,True,Post-Monsoon,None,False
2024-10-13,13,41,10,4,2024,True,Post-Monsoon,None,False
2024-10-14,14,42,10,4,2024,False,Post-Monsoon,None,False
2024-10-15,15,42,10,4,2024,False,Post-Monsoon,None,False
2024-10-16,16,42,10,4,2024,False,Post-Monsoon,None,False
2024-10-17,17,42,10,4,2024,False,Post-Monsoon,None,False
2024-10-18,18,42,10,4,2024,False,Post-Monsoon,None,False
2024-10-19,19,42,10,4,2024,True,Post-Monsoon,None,False
2024-10-20,20,42,10,4,2024,True,Post-Monsoon,None,False
2024-10-21,21,43,10,4,2024,False,Post-Monsoon,None,False
2024-10-22,22,43,10,4,2024,False,Post-Monsoon,None,False
2024-10-23,23,43,10,4,2024,False,Post-Monsoon,None,False
2024-10-24,24,43,10,4,2024,False,Post-Monsoon,None,False
2024-10-25,25,43,10,4,2024,False,Post-Monsoon,None,False
2024-10-26,26,43,10,4,2024,True,Post-Monsoon,None,False
2024-10-27,27,43,10,4,2024,True,Post-Monsoon,None,False
2024-10-28,28,44,10,4,2024,False,Post-Monsoon,None,False
2024-10-29,29,44,10,4,2024,False,Post-Monsoon,None,False
